;Código da Instituição;Nome da Instituição;Categoria Administrativa;Organização Acadêmica;Código do Curso de Graduação;Nome do Curso de Graduação;Código da Região Geográfica do Curso;Código da Unidade Federativa do Curso;Código do Município do Curso;Grau Acadêmico;Modalidade de Ensino;Nome da área do Curso segundo a classificação CINE BRASIL;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Ano de Ingresso;Ano de Referência;Prazo de Integralização em Anos;Ano de Integralização do Curso;Prazo de Acompanhamento do Curso em anos;Ano Máximo de Acompanhamento do Curso;Quantidade de Ingressantes no Curso;Quantidade de Permanência no Curso no ano de referência;Quantidade de Concluintes no Curso no ano de referência;Quantidade de Desistência no Curso no ano de referência;Quantidade de Falecimentos no Curso no ano de referência;Taxa de Permanência - TAP;Taxa de Conclusão Acumulada - TCA;Taxa de Desistência Acumulada - TODA;Taxa de Conclusão Anual - TCAN;Taxa de Desistência Anual - TDAN
1042;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;88564;AGRONOMIA;4.0;43.0;4322509.0;1;1;Agronomia;Agricultura, silvicultura, pesca e veterinária;2010;2019;6;2015;10;2019;55;3;2;0;0;5,5;45,5;49,1;3,6;0
1043;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;89134;ENGENHARIA MECÂNICA;4.0;43.0;4302105.0;1;1;Engenharia mecânica;Engenharia, produção e construção;2010;2019;6;2015;10;2019;87;15;3;5;0;17,2;24,1;58,6;3,4;5,7
1044;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;89238;CIÊNCIAS BIOLÓGICAS;4.0;43.0;4302105.0;2;1;Biologia formação de professor;Educação;2010;2019;5;2014;8;2017;45;1;0;1;0;2,2;44,4;53,3;0;2,2
1045;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;98110;DESIGN GRÁFICO;4.0;43.0;4302105.0;1;1;Design gráfico;Artes e humanidades;2010;2019;5;2014;8;2017;13;0;0;0;0;0;30,8;69,2;0;0
1046;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;98118;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;4.0;43.0;4305108.0;1;1;Engenharia de controle e automação;Engenharia, produção e construção;2010;2019;6;2015;10;2019;127;8;2;5;0;6,3;13,5;80,2;1,6;4
1047;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;98128;DIREITO;4.0;43.0;4319505.0;1;1;Direito;Negócios, administração e direito;2010;2019;6;2015;10;2019;97;7;1;0;0;7,3;39,6;53,1;1;0
1048;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;98130;EDUCAÇÃO FÍSICA;4.0;43.0;4302105.0;2;1;Educação física formação de professor;Educação;2010;2019;5;2014;8;2017;63;0;1;2;0;0;44,4;55,6;1,6;3,2
1049;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;98307;PEDAGOGIA;4.0;43.0;4302105.0;2;1;Pedagogia;Educação;2010;2019;5;2014;8;2017;59;1;0;0;0;1,7;55,9;42,4;0;0
1050;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;98308;PEDAGOGIA;4.0;43.0;4305108.0;2;1;Pedagogia;Educação;2010;2019;5;2014;8;2017;154;5;0;2;0;3,2;43,5;53,2;0;1,3
1051;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;98309;PEDAGOGIA;4.0;43.0;4322509.0;2;1;Pedagogia;Educação;2010;2019;5;2014;8;2017;30;0;0;1;0;0;33,3;66,7;0;3,3
