Unnamed: 0;NOME_IES_BOLSA;COD_CURSO;NOME_CURSO_BOLSA;BOLSAS;TODA
7939;universidade luterana do brasil;112316;design de moda;2;66,7
7940;universidade luterana do brasil;115768;design de moda;2;85,7
7941;universidade luterana do brasil;100068;design gráfico;3;92,1
7942;universidade luterana do brasil;9292;direito;4;86,4
7943;universidade luterana do brasil;9310;direito;4;85,1
7944;universidade luterana do brasil;9314;direito;4;90,5
7945;universidade luterana do brasil;52863;direito;4;83,5
7946;universidade luterana do brasil;52929;direito;4;88,7
7947;universidade luterana do brasil;53037;direito;4;83,1
7948;universidade luterana do brasil;53045;direito;4;83,2
7949;universidade luterana do brasil;59538;direito;4;89,1
7950;universidade luterana do brasil;8483;educação física;46;92,2
7951;universidade luterana do brasil;45762;educação física;46;88,1
7952;universidade luterana do brasil;45763;educação física;46;91,5
7953;universidade luterana do brasil;52865;educação física;46;96,2
7954;universidade luterana do brasil;60470;educação física;46;91,4
7955;universidade luterana do brasil;72863;educação física;46;88,5
7956;universidade luterana do brasil;75332;educação física;46;89,9
7957;universidade luterana do brasil;75334;educação física;46;89,9
7958;universidade luterana do brasil;75338;educação física;46;83,6
7959;universidade luterana do brasil;113268;educação física;46;83,2
7960;universidade luterana do brasil;113270;educação física;46;87
7961;universidade luterana do brasil;9278;enfermagem;7;80,3
7962;universidade luterana do brasil;52667;enfermagem;7;70,8
7963;universidade luterana do brasil;71333;enfermagem;7;84,6
7964;universidade luterana do brasil;75336;enfermagem;7;82,3
7965;universidade luterana do brasil;123692;enfermagem;7;63,6
7966;universidade luterana do brasil;9287;engenharia civil;2;79,8
7967;universidade luterana do brasil;115774;engenharia de produção;10;87,5
7968;universidade luterana do brasil;119904;engenharia de produção;10;75,4
7969;universidade luterana do brasil;60280;engenharia mecânica automotiva;1;91
7970;universidade luterana do brasil;70867;estética e cosmética;5;86,2
7971;universidade luterana do brasil;100049;estética e cosmética;5;82,7
7972;universidade luterana do brasil;105874;estética e cosmética;5;81,9
7973;universidade luterana do brasil;9309;fisioterapia;13;86,5
7974;universidade luterana do brasil;75341;fisioterapia;13;63,9
7975;universidade luterana do brasil;97471;fisioterapia;13;77,6
7976;universidade luterana do brasil;104154;fisioterapia;13;84,3
7977;universidade luterana do brasil;65571;fotografia;1;83,6
7978;universidade luterana do brasil;59566;física;3;95
7979;universidade luterana do brasil;9293;geografia;1;80,2
7980;universidade luterana do brasil;123643;geografia;1;70,6
7981;universidade luterana do brasil;102926;gestão ambiental;1;90,4
7982;universidade luterana do brasil;106074;gestão ambiental;1;76,6
7983;universidade luterana do brasil;65577;gestão comercial;3;94,7
7984;universidade luterana do brasil;119908;gestão da produção industrial;5;78,4
7985;universidade luterana do brasil;65573;gestão de recursos humanos;2;90,8
7986;universidade luterana do brasil;100046;gestão de recursos humanos;2;77,3
7987;universidade luterana do brasil;122186;gestão de recursos humanos;2;75,2
7988;universidade luterana do brasil;65501;gestão de segurança privada;3;92,6
7989;universidade luterana do brasil;65547;gestão financeira;23;96,1
7990;universidade luterana do brasil;99490;gestão financeira;23;77,9
7991;universidade luterana do brasil;120661;gestão pública;1;84
7992;universidade luterana do brasil;9289;história;10;81,1
7993;universidade luterana do brasil;60476;história;10;92
7994;universidade luterana do brasil;75327;história;10;90,8
7995;universidade luterana do brasil;105880;história;10;100
7996;universidade luterana do brasil;112320;história;10;77,9
7997;universidade luterana do brasil;123633;história;10;83,3
7998;universidade luterana do brasil;32941;letras - português;10;86
7999;universidade luterana do brasil;53074;letras - português;10;85,7
8000;universidade luterana do brasil;53188;letras - português;10;89,1
8001;universidade luterana do brasil;60479;letras - português;10;77,5
8002;universidade luterana do brasil;84013;letras - português;10;82,9
8003;universidade luterana do brasil;106038;letras - português;10;56,7
8004;universidade luterana do brasil;69202;marketing;5;92,1
8005;universidade luterana do brasil;27598;matemática;5;77,8
8006;universidade luterana do brasil;60509;matemática;5;93,1
8007;universidade luterana do brasil;65784;matemática;5;93,1
8008;universidade luterana do brasil;66505;matemática;5;83,9
8009;universidade luterana do brasil;75331;matemática;5;82,6
8010;universidade luterana do brasil;112312;matemática;5;64,6
8011;universidade luterana do brasil;9326;medicina;6;53,3
8012;universidade luterana do brasil;96899;negócios imobiliários;9;88,3
8013;universidade luterana do brasil;100037;negócios imobiliários;9;100
8014;universidade luterana do brasil;9290;odontologia;1;57,7
8015;universidade luterana do brasil;19344;odontologia;1;61,4
8016;universidade luterana do brasil;19350;odontologia;1;64,1
8017;universidade luterana do brasil;8488;pedagogia;545;67,5
8018;universidade luterana do brasil;9285;pedagogia;545;96,4
8019;universidade luterana do brasil;9297;pedagogia;545;89,2
8020;universidade luterana do brasil;9315;pedagogia;545;69,2
8021;universidade luterana do brasil;19346;pedagogia;545;96
8022;universidade luterana do brasil;23573;pedagogia;545;86,7
8023;universidade luterana do brasil;26393;pedagogia;545;52,6
8024;universidade luterana do brasil;26394;pedagogia;545;54
8025;universidade luterana do brasil;31745;pedagogia;545;45,8
8026;universidade luterana do brasil;45788;pedagogia;545;53,1
8027;universidade luterana do brasil;52861;pedagogia;545;95
8028;universidade luterana do brasil;52868;pedagogia;545;64,6
8029;universidade luterana do brasil;52933;pedagogia;545;92,2
8030;universidade luterana do brasil;53047;pedagogia;545;100
8031;universidade luterana do brasil;59284;pedagogia;545;100
8032;universidade luterana do brasil;59286;pedagogia;545;21
8033;universidade luterana do brasil;59527;pedagogia;545;100
8034;universidade luterana do brasil;71272;pedagogia;545;100
8035;universidade luterana do brasil;97851;pedagogia;545;67,2
8036;universidade luterana do brasil;113542;processos gerenciais;2;78,5
8037;universidade luterana do brasil;101576;produção audiovisual;1;85,1
8038;universidade luterana do brasil;26391;psicologia;4;95,1
