;Nome da Instituição;Código do Curso de Graduação;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Percentual de Bolsas;Taxa de Desistência Acumulada - TODA
126;centro universitário anhanguera de santo andré;69902;gestão financeira;13;76;17.11;27,6
127;centro universitário anhanguera de santo andré;69916;gestão hospitalar;9;50;18.0;48
128;centro universitário anhanguera de santo andré;64096;logística;31;177;17.51;43,5
129;centro universitário anhanguera de santo andré;69904;marketing;14;82;17.07;41,5
130;centro universitário anhanguera de santo andré;102100;mecatrônica industrial;17;53;32.08;41,5
131;centro universitário anhanguera de santo andré;6159;pedagogia;33;128;25.78;42,2
132;centro universitário anhanguera de santo andré;6160;psicologia;106;215;49.3;46
133;centro universitário anhanguera de santo andré;69908;radiologia;15;45;33.33;33,3
134;centro universitário anhanguera de são paulo;8013;administração;51;363;14.05;52,3
135;centro universitário anhanguera de são paulo;103114;análise e desenvolvimento de sistemas;21;69;30.43;52,2
136;centro universitário anhanguera de são paulo;8019;ciências contábeis;10;105;9.52;63,2
137;centro universitário anhanguera de são paulo;25357;comunicação social - publicidade e propaganda;1;38;2.63;39,5
138;centro universitário anhanguera de são paulo;64262;design digital;1;5;20.0;60
139;centro universitário anhanguera de são paulo;48371;direito;22;135;16.3;65,1
140;centro universitário anhanguera de são paulo;103116;engenharia mecânica;14;155;9.03;32
141;centro universitário anhanguera de são paulo;103118;gestão de recursos humanos;40;421;9.5;26,1
142;centro universitário anhanguera de são paulo;23444;letras - português e inglês;2;86;2.33;66,1
143;centro universitário anhanguera de são paulo;103122;logística;28;281;9.96;35,1
144;centro universitário anhanguera de são paulo;103128;marketing;15;130;11.54;80
145;centro universitário anhanguera de são paulo;103112;pedagogia;29;260;11.15;27,5
146;centro universitário anhanguera de são paulo;103132;serviço social;18;103;17.48;33
147;centro universitário anhanguera de são paulo;8012;turismo;15;57;26.32;45,6
148;centro universitário anhangüera;17416;administração;40;220;18.18;45,5
149;centro universitário anhangüera;52522;ciência da computação;9;35;25.71;28,6
150;centro universitário anhangüera;96893;ciências biológicas;12;37;32.43;37,8
151;centro universitário anhangüera;17415;ciências contábeis;15;69;21.74;36,2
152;centro universitário anhangüera;17421;direito;24;111;21.62;61,3
153;centro universitário anhangüera;52543;educação física;11;41;26.83;48,8
154;centro universitário anhangüera;64016;enfermagem;15;61;24.59;47,5
155;centro universitário anhangüera;20117;engenharia de produção mecânica;6;65;9.23;27,7
156;centro universitário anhangüera;104328;gestão de recursos humanos;8;62;12.9;25,8
157;centro universitário anhangüera;34278;letras - português e inglês;2;30;6.67;50
158;centro universitário anhangüera;52554;medicina veterinária;23;94;24.47;51,1
159;centro universitário anhangüera;18349;pedagogia;9;54;16.67;25,9
160;centro universitário anhangüera;96091;psicologia;9;62;14.52;37,1
161;centro universitário autônomo do brasil;21743;administração;119;366;32.51;64,2
162;centro universitário autônomo do brasil;94925;biomedicina;4;76;5.26;76,3
163;centro universitário autônomo do brasil;49086;ciências contábeis;27;117;23.08;54,7
164;centro universitário autônomo do brasil;48782;comunicação social - jornalismo;39;38;102.63;71,1
165;centro universitário autônomo do brasil;47540;comunicação social - publicidade e propaganda;57;158;36.08;69,6
166;centro universitário autônomo do brasil;86896;design;39;101;38.61;67,3
167;centro universitário autônomo do brasil;83920;educação física;37;295;12.54;44,3
168;centro universitário autônomo do brasil;86902;enfermagem;11;72;15.28;69,4
169;centro universitário autônomo do brasil;89484;farmácia;37;120;30.83;61,7
170;centro universitário autônomo do brasil;89482;fisioterapia;20;61;32.79;65,6
171;centro universitário autônomo do brasil;86900;nutrição;35;95;36.84;70,5
172;centro universitário autônomo do brasil;56724;pedagogia;23;49;46.94;91,8
173;centro universitário autônomo do brasil;96857;psicologia;19;81;23.46;75,3
174;centro universitário autônomo do brasil;54243;relações internacionais;16;9;177.78;55,6
175;centro universitário autônomo do brasil;53358;relações públicas;2;12;16.67;91,7
176;centro universitário autônomo do brasil;57836;secretariado executivo;19;23;82.61;78,3
177;centro universitário autônomo do brasil;83281;serviço social;36;90;40.0;60
178;centro universitário autônomo do brasil;57900;sistemas de informação;34;97;35.05;78,4
179;centro universitário barão de mauá;19007;administração;21;107;19.63;57
180;centro universitário barão de mauá;19008;arquitetura e urbanismo;24;114;21.05;40,4
181;centro universitário barão de mauá;117342;biomedicina;4;89;4.49;59
182;centro universitário barão de mauá;19010;ciência da computação;10;84;11.9;67,9
183;centro universitário barão de mauá;31537;ciências biológicas;6;83;7.23;36
184;centro universitário barão de mauá;49677;comunicação social - publicidade e propaganda;4;57;7.02;68,4
185;centro universitário barão de mauá;82801;direito;26;143;18.18;49,7
186;centro universitário barão de mauá;117337;enfermagem;2;91;2.2;59,6
187;centro universitário barão de mauá;117570;engenharia ambiental;2;56;3.57;50
188;centro universitário barão de mauá;19850;medicina;17;90;18.89;14,4
189;centro universitário barão de mauá;19014;medicina veterinária;11;72;15.28;41,7
190;centro universitário barão de mauá;4464;pedagogia;7;52;13.46;46,2
191;centro universitário barão de mauá;117552;psicologia;5;104;4.81;55,8
192;centro universitário barão de mauá;20622;serviço social;7;33;21.21;36,4
193;centro universitário barão de mauá;117346;teatro;1;28;3.57;53,6
194;centro universitário belas artes de são paulo;4887;arquitetura e urbanismo;25;407;6.14;39,6
195;centro universitário belas artes de são paulo;4886;artes visuais, pintura, gravura e escultura;1;100;1.0;55
196;centro universitário belas artes de são paulo;24631;comunicação social - publicidade e propaganda;1;134;0.75;50
197;centro universitário belas artes de são paulo;75568;comunicação social - radialismo (rádio e tv);4;48;8.33;54,2
198;centro universitário belas artes de são paulo;4891;design de interiores;6;80;7.5;33,8
199;centro universitário belas artes de são paulo;50055;design de moda;19;137;13.87;43,8
200;centro universitário belas artes de são paulo;35167;design de produto;13;92;14.13;43,5
201;centro universitário belas artes de são paulo;26216;design gráfico;24;195;12.31;42,1
202;centro universitário belas artes de são paulo;49383;relações internacionais;8;65;12.31;44,6
203;centro universitário campos de andrade;19710;administração;1;42;2.38;69
204;centro universitário campos de andrade;44281;enfermagem;12;157;7.64;42
205;centro universitário campos de andrade;51016;história;7;46;15.22;71,7
206;centro universitário católica de quixadá;68996;administração;3;28;10.71;57,1
207;centro universitário católica de quixadá;68994;ciências contábeis;5;42;11.9;50
208;centro universitário católica de quixadá;81048;direito;9;128;7.03;44,5
209;centro universitário católica de quixadá;88906;educação física;3;17;17.65;52,9
210;centro universitário católica de quixadá;68998;enfermagem;13;103;12.62;38,6
211;centro universitário católica de quixadá;69002;filosofia;1;19;5.26;78,9
212;centro universitário católica de quixadá;71597;fisioterapia;6;25;24.0;60
213;centro universitário católica de quixadá;90681;odontologia;10;120;8.33;31,7
214;centro universitário católica de quixadá;54549;teologia;2;7;28.57;66,7
215;centro universitário católico salesiano auxilium;8209;administração;16;230;6.96;54,3
216;centro universitário católico salesiano auxilium;8207;ciências contábeis;8;126;6.35;37
217;centro universitário católico salesiano auxilium;65339;comunicação social;4;67;5.97;48,3
218;centro universitário católico salesiano auxilium;79418;desenvolvimento de sistemas;6;54;11.11;68,5
219;centro universitário católico salesiano auxilium;68448;direito;21;226;9.29;44,9
220;centro universitário católico salesiano auxilium;8213;educação física;6;143;4.2;40
221;centro universitário católico salesiano auxilium;67465;enfermagem;4;179;2.23;48,8
222;centro universitário católico salesiano auxilium;48508;engenharia;12;136;8.82;50
223;centro universitário católico salesiano auxilium;120044;farmácia;4;45;8.89;37,8
224;centro universitário católico salesiano auxilium;67463;fisioterapia;20;116;17.24;42,9
225;centro universitário católico salesiano auxilium;113890;jogos digitais;4;17;23.53;58,8
226;centro universitário católico salesiano auxilium;7878;pedagogia;5;110;4.55;34,5
227;centro universitário católico salesiano auxilium;109608;psicologia;2;60;3.33;50
228;centro universitário católico salesiano auxilium;107872;química;7;108;6.48;24,4
229;centro universitário católico salesiano auxilium;97639;sistemas para internet;2;22;9.09;77,3
