instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
universidade anhembi morumbi;ciencia da computacao;0;5;35;81;48;computacao e tecnologias da informacao e comunicacao (tic);5;0.04;0.0;100.0;59.26
universidade catolica de brasilia;ciencia da computacao;0;9;53;84;44;computacao e tecnologias da informacao e comunicacao (tic);9;0.07;0.0;100.0;52.38
universidade catolica de pernambuco;ciencia da computacao;0;15;26;140;89;computacao e tecnologias da informacao e comunicacao (tic);15;0.12;0.0;100.0;63.57
universidade catolica de santos;ciencia da computacao;0;4;35;32;19;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;0.0;100.0;59.38
universidade cidade de sao paulo;ciencia da computacao;8;4;35;91;56;computacao e tecnologias da informacao e comunicacao (tic);12;0.1;66.67;33.33;61.54
universidade cruzeiro do sul;ciencia da computacao;7;5;35;125;92;computacao e tecnologias da informacao e comunicacao (tic);12;0.1;58.33;41.67;73.6
universidade da amazonia;ciencia da computacao;4;3;15;119;62;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;57.14;42.86;52.1
universidade de caxias do sul;ciencia da computacao;5;11;43;125;77;computacao e tecnologias da informacao e comunicacao (tic);16;0.13;31.25;68.75;61.6
universidade de cruz alta;ciencia da computacao;0;12;43;28;8;computacao e tecnologias da informacao e comunicacao (tic);12;0.1;0.0;100.0;28.57
universidade de franca;ciencia da computacao;3;1;35;89;56;computacao e tecnologias da informacao e comunicacao (tic);4;0.03;75.0;25.0;62.92
universidade de itauna;ciencia da computacao;0;2;31;30;15;computacao e tecnologias da informacao e comunicacao (tic);2;0.02;0.0;100.0;50.0
universidade de passo fundo;ciencia da computacao;23;11;43;65;25;computacao e tecnologias da informacao e comunicacao (tic);34;0.28;67.65;32.35;38.46
universidade de santa cruz do sul;ciencia da computacao;0;8;43;126;94;computacao e tecnologias da informacao e comunicacao (tic);8;0.07;0.0;100.0;74.6
universidade de sorocaba;ciencia da computacao;0;10;35;69;40;computacao e tecnologias da informacao e comunicacao (tic);10;0.08;0.0;100.0;57.97
universidade do extremo sul catarinense;ciencia da computacao;0;25;42;105;37;computacao e tecnologias da informacao e comunicacao (tic);25;0.2;0.0;100.0;35.24
universidade do oeste de santa catarina;ciencia da computacao;0;7;42;68;39;computacao e tecnologias da informacao e comunicacao (tic);7;0.06;0.0;100.0;57.35
universidade do oeste paulista;ciencia da computacao;0;50;35;64;18;computacao e tecnologias da informacao e comunicacao (tic);50;0.41;0.0;100.0;28.12
universidade do vale do itajai;ciencia da computacao;0;48;42;218;153;computacao e tecnologias da informacao e comunicacao (tic);48;0.39;0.0;100.0;70.18
universidade do vale do rio dos sinos;ciencia da computacao;0;12;43;161;116;computacao e tecnologias da informacao e comunicacao (tic);12;0.1;0.0;100.0;72.05
universidade feevale;ciencia da computacao;0;16;43;82;38;computacao e tecnologias da informacao e comunicacao (tic);16;0.13;0.0;100.0;46.34
