,instituicao,qtd_bolsas_parciais,qtd_bolsas_integrais,cod_estado,qtd_ingressantes,grande_area,qtd_desistencias,qtd_total_bolsas,percentual_bolsas_parciais,percentual_bolsas_integrais,percentual_total_bolsas,taxa_desistencia_acumulada
102,instituto de ensino superior da grande florianopolis,0,40,42,446,computacao e tecnologias da informacao e comunicacao (tic),312,40,0.0,100.0,8.97,69.96
31,centro universitario facvest,6,31,42,90,computacao e tecnologias da informacao e comunicacao (tic),62,37,16.22,83.78,41.11,68.89
60,faculdade anhanguera de joinville,0,3,42,64,computacao e tecnologias da informacao e comunicacao (tic),58,3,0.0,100.0,4.69,90.62
130,universidade de passo fundo,171,80,43,590,computacao e tecnologias da informacao e comunicacao (tic),301,251,68.13,31.87,42.54,51.02
94,faculdade sao francisco de assis,46,6,43,249,computacao e tecnologias da informacao e comunicacao (tic),208,52,88.46,11.54,20.88,83.53
145,universidade luterana do brasil,0,372,43,1007,computacao e tecnologias da informacao e comunicacao (tic),671,372,0.0,100.0,36.94,66.63
127,universidade de cruz alta,10,69,43,197,computacao e tecnologias da informacao e comunicacao (tic),94,79,12.66,87.34,40.1,47.72
45,centro universitario ritter dos reis,0,56,43,890,computacao e tecnologias da informacao e comunicacao (tic),485,56,0.0,100.0,6.29,54.49
141,universidade franciscana,0,5,43,29,computacao e tecnologias da informacao e comunicacao (tic),18,5,0.0,100.0,17.24,62.07
149,universidade regional do noroeste do estado do rio grande do sul,40,95,43,823,computacao e tecnologias da informacao e comunicacao (tic),588,135,29.63,70.37,16.4,71.45
140,universidade feevale,0,68,43,650,computacao e tecnologias da informacao e comunicacao (tic),369,68,0.0,100.0,10.46,56.77
32,centro universitario fadergs,0,6,43,107,computacao e tecnologias da informacao e comunicacao (tic),45,6,0.0,100.0,5.61,42.06
114,pontificia universidade catolica do rio grande do sul,4,105,43,913,computacao e tecnologias da informacao e comunicacao (tic),556,109,3.67,96.33,11.94,60.9
120,universidade catolica de pelotas,0,1,43,16,computacao e tecnologias da informacao e comunicacao (tic),6,1,0.0,100.0,6.25,37.5
126,universidade de caxias do sul,30,73,43,900,computacao e tecnologias da informacao e comunicacao (tic),537,103,29.13,70.87,11.44,59.67
131,universidade de santa cruz do sul,5,60,43,792,computacao e tecnologias da informacao e comunicacao (tic),511,65,7.69,92.31,8.21,64.52
139,universidade do vale do rio dos sinos,57,111,43,1424,computacao e tecnologias da informacao e comunicacao (tic),979,168,33.93,66.07,11.8,68.75
150,universidade regional integrada do alto uruguai e das missoes,56,143,43,1061,computacao e tecnologias da informacao e comunicacao (tic),575,199,28.14,71.86,18.76,54.19
12,centro universitario da grande dourados,26,15,50,342,computacao e tecnologias da informacao e comunicacao (tic),199,41,63.41,36.59,11.99,58.19
115,universidade anhanguera,0,17,50,182,computacao e tecnologias da informacao e comunicacao (tic),149,17,0.0,100.0,9.34,81.87
2,centro universitario anhanguera de campo grande,18,4,50,130,computacao e tecnologias da informacao e comunicacao (tic),41,22,81.82,18.18,16.92,31.54
54,centro universitario unic,0,7,51,127,computacao e tecnologias da informacao e comunicacao (tic),96,7,0.0,100.0,5.51,75.59
99,instituto cuiaba de ensino e cultura,0,44,51,311,computacao e tecnologias da informacao e comunicacao (tic),237,44,0.0,100.0,14.15,76.21
108,instituto unificado de ensino superior objetivo,0,9,52,113,computacao e tecnologias da informacao e comunicacao (tic),89,9,0.0,100.0,7.96,78.76
109,pontificia universidade catolica de goias,0,125,52,1556,computacao e tecnologias da informacao e comunicacao (tic),1106,125,0.0,100.0,8.03,71.08
56,faculdade anhanguera de anapolis,11,48,52,400,computacao e tecnologias da informacao e comunicacao (tic),241,59,18.64,81.36,14.75,60.25
17,centro universitario de brasilia,0,37,53,348,computacao e tecnologias da informacao e comunicacao (tic),93,37,0.0,100.0,10.63,26.72
119,universidade catolica de brasilia,0,74,53,796,computacao e tecnologias da informacao e comunicacao (tic),481,74,0.0,100.0,9.3,60.43
24,centro universitario do instituto de educacao superior de brasilia - iesb,44,18,53,889,computacao e tecnologias da informacao e comunicacao (tic),678,62,70.97,29.03,6.97,76.27
43,centro universitario planalto do distrito federal - uniplan,0,4,53,18,computacao e tecnologias da informacao e comunicacao (tic),18,4,0.0,100.0,22.22,100.0
