;Nome da Instituição;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Quantidade de Desistências;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Percentual de Bolsas;Taxa de Desistência Acumulada
429;universidade luterana do brasil;design de interiores;1;159;130;artes e humanidades;0.63;81.76
430;universidade luterana do brasil;design de moda;2;104;80;artes e humanidades;1.92;76.92
431;universidade luterana do brasil;design grafico;3;114;105;artes e humanidades;2.63;92.11
432;universidade luterana do brasil;direito;4;2740;2357;negocios, administracao e direito;0.15;86.02
433;universidade luterana do brasil;educacao fisica;46;2143;1910;educacao;2.15;89.13
434;universidade luterana do brasil;enfermagem;7;884;708;saude e bem-estar;0.79;80.09
435;universidade luterana do brasil;engenharia civil;2;302;241;engenharia, producao e construcao;0.66;79.8
436;universidade luterana do brasil;engenharia de producao;10;213;179;engenharia, producao e construcao;4.69;84.04
437;universidade luterana do brasil;engenharia mecanica automotiva;1;245;223;engenharia, producao e construcao;0.41;91.02
438;universidade luterana do brasil;estetica e cosmetica;5;517;435;servicos;0.97;84.14
439;universidade luterana do brasil;fisioterapia;13;614;500;saude e bem-estar;2.12;81.43
440;universidade luterana do brasil;fotografia;1;146;122;artes e humanidades;0.68;83.56
441;universidade luterana do brasil;fisica;3;119;113;educacao;2.52;94.96
442;universidade luterana do brasil;geografia;1;113;89;educacao;0.88;78.76
443;universidade luterana do brasil;gestao ambiental;1;116;96;engenharia, producao e construcao;0.86;82.76
444;universidade luterana do brasil;gestao comercial;3;95;90;negocios, administracao e direito;3.16;94.74
445;universidade luterana do brasil;gestao da producao industrial;5;74;58;engenharia, producao e construcao;6.76;78.38
446;universidade luterana do brasil;gestao de recursos humanos;2;336;289;negocios, administracao e direito;0.6;86.01
447;universidade luterana do brasil;gestao de seguranca privada;3;81;75;servicos;3.7;92.59
448;universidade luterana do brasil;historia;10;425;364;educacao;2.35;85.65
449;universidade luterana do brasil;letras - portugues;1;307;258;educacao;0.33;84.04
450;universidade luterana do brasil;marketing;5;152;140;negocios, administracao e direito;3.29;92.11
451;universidade luterana do brasil;matematica;5;399;326;educacao;1.25;81.7
